T2M,RH2M,WS2M,PRECTOTCORR,Date
24.42,33.5,2.01,0.0,2023-11-24 13:00:00
24.36,32.69,1.9,0.0,2023-11-24 14:00:00
23.62,33.94,1.61,0.0,2023-11-24 15:00:00
21.23,52.12,0.68,0.0,2023-11-24 16:00:00
19.63,47.38,0.73,0.0,2023-11-24 17:00:00
18.75,48.0,0.73,0.0,2023-11-24 18:00:00
17.83,50.12,0.8,0.0,2023-11-24 19:00:00
17.19,51.88,0.82,0.0,2023-11-24 20:00:00
16.27,56.69,1.02,0.0,2023-11-24 21:00:00
15.13,62.5,1.16,0.0,2023-11-24 22:00:00
14.39,66.19,1.18,0.0,2023-11-24 23:00:00
13.98,68.06,1.15,0.0,2023-11-25 00:00:00
13.84,68.5,1.12,0.0,2023-11-25 01:00:00
13.73,68.81,1.1,0.0,2023-11-25 02:00:00
13.52,69.5,1.1,0.0,2023-11-25 03:00:00
13.31,69.44,1.11,0.0,2023-11-25 04:00:00
13.2,68.94,1.1,0.0,2023-11-25 05:00:00
12.97,68.44,1.11,0.0,2023-11-25 06:00:00
13.21,67.38,0.99,0.0,2023-11-25 07:00:00
15.27,58.69,1.33,0.0,2023-11-25 08:00:00
16.91,46.31,1.98,0.0,2023-11-25 09:00:00
19.13,41.81,1.65,0.0,2023-11-25 10:00:00
21.94,33.0,1.12,0.0,2023-11-25 11:00:00
22.18,32.75,1.01,0.0,2023-11-25 12:00:00
21.98,35.38,0.86,0.0,2023-11-25 13:00:00
21.96,36.19,0.64,0.0,2023-11-25 14:00:00
21.46,41.25,0.27,0.0,2023-11-25 15:00:00
20.37,42.69,0.38,0.0,2023-11-25 16:00:00
18.83,44.94,0.7,0.0,2023-11-25 17:00:00
17.51,52.75,1.01,0.0,2023-11-25 18:00:00
16.26,58.31,1.14,0.0,2023-11-25 19:00:00
15.56,60.38,1.15,0.0,2023-11-25 20:00:00
15.18,60.88,1.09,0.0,2023-11-25 21:00:00
14.99,60.31,0.99,0.0,2023-11-25 22:00:00
14.68,60.56,0.93,0.0,2023-11-25 23:00:00
14.02,63.38,0.99,0.0,2023-11-26 00:00:00
13.34,66.06,1.05,0.0,2023-11-26 01:00:00
12.88,67.56,1.12,0.0,2023-11-26 02:00:00
12.65,68.38,1.14,0.0,2023-11-26 03:00:00
12.49,69.12,1.15,0.0,2023-11-26 04:00:00
12.33,70.12,1.14,0.0,2023-11-26 05:00:00
12.18,71.25,1.14,0.0,2023-11-26 06:00:00
12.36,72.31,1.08,0.0,2023-11-26 07:00:00
